NestID	Cohort	Helpers	Size	Date
300	2012	1	0.530652453	9/12/2012
301	2012	1	0.466333748	3/12/2012
301	2012	1	1.209754353	3/12/2012
301	2012	1	0.339390269	3/12/2012
302	2012	0	-1.064260435	18/12/2012
302	2012	0	-0.910228916	18/12/2012
461	2012	0	1.281556114	3/12/2012
303	2013	0	-0.09587824	3/11/2013
303	2013	0	-0.731258259	3/11/2013
303	2013	0	0.638358986	3/11/2013
304	2013	0	-0.769766139	3/01/2014
304	2013	0	0.214772306	3/01/2014
305	2013	0	-0.673496439	9/11/2013
305	2013	0	0.115915101	9/11/2013
306	2013	0	-0.01886248	26/10/2013
306	2013	0	0.557406443	26/10/2013
306	2013	0	0.46248602	26/10/2013
307	2013	0	1.851357205	3/01/2014
307	2013	0	2.698530565	3/01/2014
308	2013	0	0.507054811	28/10/2013
308	2013	0	0.196404265	28/10/2013
308	2013	0	0.526308752	28/10/2013
309	2013	0	2.634228853	12/01/2014
309	2013	0	1.980944171	12/01/2014
310	2013	0	-0.326925519	22/12/2013
310	2013	0	0.36621632	22/12/2013
311	2013	1	0.754768526	15/10/2013
311	2013	1	0.658498826	15/10/2013
311	2013	1	1.024323686	15/10/2013
312	2013	1	0.385470261	20/12/2013
312	2013	1	-0.057370359	20/12/2013
312	2013	1	0.558755719	20/12/2013
313	2013	0	-0.381213934	25/10/2013
314	2013	0	1.196723246	23/11/2013
